date,open,high,low,close,volume,daily_return,log_return,MA20,MA50,MA200,volatility
2018-07-13,2825.124755859375,2881.346144035681,2789.9863882491836,2867.290796991604,120852800,0.007407476204287278,0.0073801755886406875,2642.405141868725,2568.959561099373,,0.2668487607081349
2018-07-16,2768.9033203125,2832.152380928775,2712.681933098033,2789.986340517925,66229700,-0.02696080096054021,-0.02733091082503291,2655.054959382903,2574.3772447739375,,0.2916448741602863
2018-07-17,2768.9033203125,2789.986340517925,2733.764953303458,2789.986340517925,53740400,0.0,0.0,2667.7047768970797,2578.8749596497314,,0.2916448741602863
2018-07-18,2818.096923828125,2832.1522700816317,2733.7648463070836,2747.820192560591,75157800,-0.015113388673260064,-0.015228759840659795,2680.7059666627233,2583.2321178294906,,0.28720389861997003
2018-07-19,2747.8203125,2811.0693734015344,2747.8203125,2811.0693734015344,65340900,0.023017947466935196,0.022757030771544416,2693.004401200453,2587.4487250240836,,0.2791572612796268
2018-07-20,2804.041748046875,2804.041748046875,2733.765012506853,2740.7926860608554,66456000,-0.024999983282390725,-0.0253177908380241,2703.1945354121135,2590.2597962793056,,0.2939740637728461
2018-07-23,2853.2353515625,2874.318371401632,2818.096985163947,2832.152331723368,74605900,0.033333293002112185,0.0327897837927761,2717.249882090815,2596.8658033326465,,0.3114303918162877
2018-07-24,2832.15234375,2874.31838360732,2832.15234375,2874.31838360732,64353800,0.014888341778668934,0.014778598342582277,2734.467694849687,2604.8773504372857,,0.30890038104529416
2018-07-25,2740.792236328125,2853.2349947415864,2740.792236328125,2853.2349947415864,55617500,-0.0073350916815532186,-0.007362125745893391,2747.4688696454655,2615.840516904495,,0.3046232595632927
2018-07-26,2761.87548828125,2768.903161279421,2733.7647962885653,2754.847815283079,55761900,-0.03448267655479886,-0.03509123481445825,2755.199304856554,2621.603202190278,,0.3359662653011317
2018-07-27,2768.9033203125,2775.9309937143084,2733.764953303458,2747.8203001070747,52506800,-0.0025509631192757176,-0.002554222369691975,2764.335284380137,2627.0847836938524,,0.3310242546768872
2018-07-30,2747.8203125,2775.931006234015,2733.7649656329922,2733.7649656329922,49045100,-0.005115085027042943,-0.005128211856826405,2767.4977422972033,2632.7069265823297,,0.3019764419016601
2018-07-31,2508.879150390625,2691.5986403350403,2494.8238050102855,2691.5986403350403,339081700,-0.015424268665389262,-0.015544460210224756,2770.660189028377,2638.4696207225597,,0.3017007634461832
2018-08-01,2494.823974609375,2529.962340448944,2459.6856087698065,2508.8793209452024,190720900,-0.06788505412794144,-0.07029913942062146,2766.0921934836324,2640.0157146894194,,0.3931444696966931
2018-08-02,2459.685546875,2522.934603794643,2424.5471819196428,2494.8239118303572,171276100,-0.005602265919091631,-0.00561801746792983,2757.30759622369,2640.9995893445657,,0.3785837120252781
2018-08-03,2431.574951171875,2452.657970979724,2410.491931364026,2445.6302977104406,224005400,-0.019718271051773373,-0.019915270112952434,2744.3063883593536,2640.1562709659092,,0.37765131411581937
2018-08-06,2565.100830078125,2579.1561770922517,2445.630380458048,2445.630380458048,231846400,3.3834879786809324e-08,3.383487921440979e-08,2729.548280843802,2638.7507429096318,,0.3722534857300139
2018-08-07,2515.906982421875,2579.156040639185,2508.8793092866185,2565.1006943686716,111024900,0.04885051922206163,0.04769482090192658,2717.601233036646,2638.1885331641924,,0.4064351697236807
2018-08-08,2494.823974609375,2529.962340448944,2473.740955105634,2529.962340448944,109077400,-0.013698625553713817,-0.013793317485406782,2703.545884464881,2638.1885319262965,,0.40685214259004415
2018-08-09,2452.658203125,2494.8242467317336,2452.658203125,2473.7412249283666,110452900,-0.022222115571333245,-0.022472746777291726,2684.9225666085463,2637.0641043829605,,0.4055814574547569
2018-08-10,2459.685546875,2487.7962388392857,2445.6302008928574,2466.7132198660715,79851700,-0.0028410429480143495,-0.0028450863707048238,2664.8936877522697,2636.923544561532,,0.4023801656277841
2018-08-13,2368.325927734375,2424.547314742906,2361.2982543583084,2417.5196413668396,106124800,-0.01994296625284353,-0.020144511309759888,2646.270352794715,2635.5180120422424,,0.3984780551217887
2018-08-14,2354.2705078125,2417.519566231343,2340.2151614972013,2361.298180970149,108189200,-0.023255844310287932,-0.0235305284897751,2624.835944817327,2631.0203001149744,,0.40160818193957265
